timestamp,dataset,file,question,X,alpha,experiments,n_true_labels,method,gamma,mse,avg_ci_length,coverage_rate,execution_time,settings_key
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,50,600,PGAE,0.5,0.0023579178907979777,0.21135023071811163,0.96,13.33361005783081,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,50,600,Adaptive_PGAE,0.5,0.004704810252477121,0.21803493854989675,0.92,7.28789210319519,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,50,600,Active_Inference,0.5,0.004013230512848535,0.2680625295886554,0.94,2.125196933746338,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,50,600,Naive,0.5,0.004331823146251419,0.2937751753247015,0.96,2.0797879695892334,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANENERGY,EDUCATION_enc,0.95,50,600,PGAE,0.5,0.0019737467456832133,0.18637226797111806,0.98,10.312788009643555,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CLEANENERGY|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANENERGY,EDUCATION_enc,0.95,50,600,Adaptive_PGAE,0.5,0.003045594417492948,0.19965872170301768,0.94,5.591338872909546,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CLEANENERGY|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANENERGY,EDUCATION_enc,0.95,50,600,Active_Inference,0.5,0.00396439996340671,0.23339291622402483,0.94,1.514354944229126,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CLEANENERGY|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANENERGY,EDUCATION_enc,0.95,50,600,Naive,0.5,0.005254441390161505,0.2596000072628925,0.94,1.5185880661010742,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CLEANENERGY|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANELEC,EDUCATION_enc,0.95,50,600,PGAE,0.5,0.002342193213734958,0.2076257977518012,1.0,6.487655878067017,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CLEANELEC|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANELEC,EDUCATION_enc,0.95,50,600,Adaptive_PGAE,0.5,0.003155350722083446,0.21982759151828163,0.96,5.8709633350372314,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CLEANELEC|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANELEC,EDUCATION_enc,0.95,50,600,Active_Inference,0.5,0.00429100521194668,0.2590780565882125,0.94,1.7277648448944092,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CLEANELEC|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CLEANELEC,EDUCATION_enc,0.95,50,600,Naive,0.5,0.005147831817997221,0.28934227101934,0.94,1.8200490474700928,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CLEANELEC|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,MEDICAREALL,EDUCATION_enc,0.95,50,600,PGAE,0.5,0.0027947829373915654,0.2121053604738533,0.96,6.488710880279541,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=MEDICAREALL|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
