timestamp,dataset,file,question,X,alpha,experiment_index,n_true_labels,n_label,method,gamma,run_seed,estimate,ci_lower,ci_higher,true_value,settings_key
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,0,600,600,PGAE,0.5,42,3.5096352617371025,3.399056921962274,3.620213601511931,3.522351797862002,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,1,600,600,PGAE,0.5,43,3.560946617207984,3.4568966344567316,3.664996599959237,3.522351797862002,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,2,600,600,PGAE,0.5,44,3.468683425348232,3.3609768523085295,3.576389998387935,3.522351797862002,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,3,600,600,PGAE,0.5,45,3.52904633022633,3.425289744451931,3.632802916000729,3.522351797862002,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,4,600,600,PGAE,0.5,46,3.576540319830132,3.4744673153254935,3.678613324334771,3.522351797862002,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,5,600,600,PGAE,0.5,47,3.524785258023866,3.423405625439693,3.6261648906080386,3.522351797862002,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,6,600,600,PGAE,0.5,48,3.5668372875382737,3.453592727428732,3.6800818476478154,3.522351797862002,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,7,600,600,PGAE,0.5,49,3.5010744932503517,3.3972685734039554,3.604880413096748,3.522351797862002,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,8,600,600,PGAE,0.5,50,3.415528692926741,3.302254710018098,3.528802675835384,3.522351797862002,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_142403,twin,data/NPORS_2024_cot_gpt5mini_20250913_133629.csv,CARBONTAX,EDUCATION_enc,0.95,9,600,600,PGAE,0.5,51,3.523323604182206,3.412486292032818,3.634160916331594,3.522351797862002,dataset=twin|file=data/NPORS_2024_cot_gpt5mini_20250913_133629.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
