timestamp,dataset,file,question,X,alpha,experiments,n_true_labels,method,gamma,mse,avg_ci_length,coverage_rate,execution_time,settings_key
20250913_141453,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,EDUCATION_enc,0.95,50,600,PGAE,0.5,0.0026330622251494406,0.21110593633959104,0.94,14.86250114440918,dataset=twin|file=data/NPORS_2024_base_gpt5mini_20250913_133642.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_141453,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,EDUCATION_enc,0.95,50,600,Adaptive_PGAE,0.5,0.004176238724425227,0.24351590959078334,0.96,13.338728904724121,dataset=twin|file=data/NPORS_2024_base_gpt5mini_20250913_133642.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_141453,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,EDUCATION_enc,0.95,50,600,Active_Inference,0.5,0.004061349922679269,0.27379450474484857,0.94,2.758202075958252,dataset=twin|file=data/NPORS_2024_base_gpt5mini_20250913_133642.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_141453,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,EDUCATION_enc,0.95,50,600,Naive,0.5,0.004331823146251419,0.2937751753247015,0.96,2.436310052871704,dataset=twin|file=data/NPORS_2024_base_gpt5mini_20250913_133642.csv|question=CARBONTAX|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_141453,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CLEANENERGY,EDUCATION_enc,0.95,50,600,PGAE,0.5,0.0014814446238246878,0.18629217635139156,1.0,9.426509857177734,dataset=twin|file=data/NPORS_2024_base_gpt5mini_20250913_133642.csv|question=CLEANENERGY|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_141453,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CLEANENERGY,EDUCATION_enc,0.95,50,600,Adaptive_PGAE,0.5,0.0022483379579374425,0.197492575586958,0.96,7.681755781173706,dataset=twin|file=data/NPORS_2024_base_gpt5mini_20250913_133642.csv|question=CLEANENERGY|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_141453,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CLEANENERGY,EDUCATION_enc,0.95,50,600,Active_Inference,0.5,0.004006462610918588,0.23659176589465772,0.94,2.1680729389190674,dataset=twin|file=data/NPORS_2024_base_gpt5mini_20250913_133642.csv|question=CLEANENERGY|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_141453,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CLEANENERGY,EDUCATION_enc,0.95,50,600,Naive,0.5,0.005254441390161505,0.2596000072628925,0.94,2.2466700077056885,dataset=twin|file=data/NPORS_2024_base_gpt5mini_20250913_133642.csv|question=CLEANENERGY|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_141453,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CLEANELEC,EDUCATION_enc,0.95,50,600,PGAE,0.5,0.002154435548169977,0.20850967188990027,1.0,11.907492876052856,dataset=twin|file=data/NPORS_2024_base_gpt5mini_20250913_133642.csv|question=CLEANELEC|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
20250913_141453,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CLEANELEC,EDUCATION_enc,0.95,50,600,Adaptive_PGAE,0.5,0.003326689165282912,0.2179660668399721,0.96,7.821128845214844,dataset=twin|file=data/NPORS_2024_base_gpt5mini_20250913_133642.csv|question=CLEANELEC|x=EDUCATION_enc|alpha=0.95|experiments=50|labels=600|gamma=0.5
