timestamp,dataset,file,question,method,target_ci_width,search_step,labels_tried,ci_length_achieved,achieved_target,alpha,experiments
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,PGAE,0.15,1,200,0.3691178869356717,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,PGAE,0.15,2,400,0.26154423512370356,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,PGAE,0.15,3,800,0.18274735898627084,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,PGAE,0.15,4,1600,0.1277183032487761,True,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,PGAE,0.15,5,1250,0.14556278522768432,True,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,PGAE,0.15,6,1050,0.15747282853776218,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,PGAE,0.15,7,1150,0.15020193645983873,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,PGAE,0.15,8,1200,0.14796870497440384,True,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Adaptive_PGAE,0.15,1,200,0.3626268902952715,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Adaptive_PGAE,0.15,2,400,0.2690056365975563,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Adaptive_PGAE,0.15,3,800,0.18574934968164625,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Adaptive_PGAE,0.15,4,1600,0.1292046722846226,True,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Adaptive_PGAE,0.15,5,1250,0.14685404626034954,True,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Adaptive_PGAE,0.15,6,1050,0.16039302631091906,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Adaptive_PGAE,0.15,7,1150,0.15319087457939085,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Adaptive_PGAE,0.15,8,1200,0.1498776355526601,True,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Active_Inference,0.15,1,200,0.47853543869608417,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Active_Inference,0.15,2,400,0.3366676929935906,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Active_Inference,0.15,3,800,0.23749292460257262,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Active_Inference,0.15,4,1600,0.16751721706261263,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Active_Inference,0.15,5,3200,0.11832341961508556,True,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Active_Inference,0.15,6,2450,0.13511094141935934,True,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Active_Inference,0.15,7,2050,0.14850505080699478,True,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Active_Inference,0.15,8,1850,0.15581310682614596,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Active_Inference,0.15,9,1950,0.15128887414153155,False,0.95,20
20250913_152326,twin,data/NPORS_2024_base_gpt5mini_20250913_133642.csv,CARBONTAX,Active_Inference,0.15,10,2000,0.14957942876075297,True,0.95,20
